id,name,price,description
557,Mercury,12026.45,Multi-channelled value-added infrastructure
558,GMC,90672.48,Down-sized even-keeled function
559,Lamborghini,38604.63,Universal disintermediate initiative
560,MINI,44477.74,De-engineered foreground neural-net
561,Isuzu,80215.78,Re-engineered heuristic workforce
562,Mercedes-Benz,81383.01,Persevering bandwidth-monitored system engine
563,Ford,76895.68,Compatible zero administration neural-net
564,Mercedes-Benz,86793.05,Virtual content-based alliance
565,Mitsubishi,34987.18,Automated multi-tasking adapter
566,Aston Martin,50835.73,Optimized explicit application
567,Volvo,93188.27,Reactive real-time Graphical User Interface
568,Infiniti,67071.92,Proactive analyzing superstructure
569,Lexus,13014.86,Down-sized grid-enabled installation
570,Subaru,71814.1,Virtual next generation infrastructure
571,Cadillac,76364.23,Enterprise-wide fault-tolerant utilisation
572,Infiniti,21816.39,Inverse executive matrices
573,Suzuki,15085.29,Horizontal tertiary workforce
574,Chevrolet,39746.1,Versatile regional contingency
575,Dodge,94378.25,Self-enabling reciprocal encryption
576,Honda,75326.67,Switchable stable process improvement
577,Buick,23368.36,Sharable tangible matrices
578,Pontiac,3380.5,Intuitive multi-tasking encoding
579,Chevrolet,47644.65,Synergistic bandwidth-monitored local area network
580,Ford,88691.0,Focused disintermediate hardware
581,Kia,62392.28,Networked zero tolerance utilisation
582,Mercedes-Benz,21683.8,Balanced global definition
583,Suzuki,9671.17,Pre-emptive impactful orchestration
584,Chevrolet,20335.55,Profound non-volatile algorithm
585,Aston Martin,46886.08,Decentralized web-enabled website
586,Nissan,75719.95,Streamlined context-sensitive access
587,Nissan,68841.6,Centralized secondary structure
588,Pontiac,77733.97,Diverse contextually-based forecast
589,Lotus,70034.46,Organic responsive pricing structure
590,GMC,67667.67,Adaptive responsive application
591,Isuzu,28208.44,Networked tertiary moratorium
592,Ford,99949.34,Switchable tangible concept
593,Isuzu,95446.44,Implemented non-volatile installation
594,Toyota,74937.56,Compatible incremental projection
595,Mazda,94218.42,Fundamental composite framework
596,Honda,12042.12,Triple-buffered zero tolerance workforce
597,Dodge,60103.46,Balanced full-range application
598,Chevrolet,81726.66,Distributed even-keeled functionalities
599,Chrysler,82772.0,Customizable didactic complexity
600,Lexus,27163.45,Robust discrete forecast
601,Chevrolet,52034.02,Cloned systemic archive
602,Pontiac,47764.84,Centralized interactive encryption
603,Dodge,98232.99,Adaptive next generation policy
604,Pontiac,91627.73,Virtual transitional time-frame
605,Land Rover,20838.25,Up-sized human-resource flexibility
606,GMC,62718.43,User-friendly hybrid software
607,Volvo,47586.68,Total high-level model
608,Nissan,32250.57,Enhanced user-facing algorithm
609,Hyundai,58440.2,Cross-group context-sensitive matrices
610,Chevrolet,75489.41,Ameliorated upward-trending hardware
611,Hyundai,9185.46,Compatible client-driven array
612,GMC,47785.81,Universal empowering customer loyalty
613,McLaren,77539.12,Robust content-based installation
614,Kia,84874.07,Diverse actuating algorithm
615,Suzuki,73110.17,Profound intermediate utilisation
616,Maserati,91005.99,Right-sized responsive knowledge base
617,Mazda,28036.41,Enterprise-wide grid-enabled strategy
618,Mazda,66630.0,Seamless object-oriented help-desk
619,Volvo,25844.68,Managed attitude-oriented project
620,GMC,43788.25,Vision-oriented human-resource data-warehouse
621,Nissan,21250.66,Mandatory eco-centric policy
622,Porsche,7622.15,Versatile mission-critical flexibility
623,Mazda,19560.54,Upgradable mission-critical portal
624,Cadillac,54953.98,Object-based local budgetary management
625,Volkswagen,93535.58,Innovative systemic process improvement
626,Lincoln,16559.16,Fully-configurable impactful collaboration
627,Volvo,98963.22,Reverse-engineered transitional toolset
628,Buick,49406.76,Multi-lateral human-resource infrastructure
629,Honda,84109.32,Reduced systematic capability
630,BMW,50667.27,Seamless directional forecast
631,Ford,89520.08,Configurable national installation
632,BMW,51440.39,Realigned leading edge matrix
633,Cadillac,47505.61,Enterprise-wide local structure
634,Jaguar,48205.73,Synergized mobile solution
635,Mitsubishi,2505.99,Multi-lateral object-oriented circuit
636,Subaru,46610.83,Optional empowering implementation
637,Volvo,13781.36,Managed leading edge capability
638,Studebaker,39219.52,Reduced eco-centric groupware
639,Volkswagen,13021.97,Focused high-level knowledge base
640,Saturn,95920.38,Fundamental heuristic project
641,Nissan,43334.25,Ergonomic fault-tolerant alliance
642,BMW,43543.12,Face to face web-enabled alliance
643,Chrysler,58129.99,Fundamental object-oriented projection
644,Isuzu,71859.34,Total impactful adapter
645,Eagle,32867.81,Persevering object-oriented algorithm
646,Eagle,2861.53,Fully-configurable tertiary service-desk
647,Lexus,11916.27,Expanded bi-directional methodology
648,Ford,20975.92,Organized well-modulated firmware
649,Hyundai,78368.68,Synergistic value-added budgetary management
650,Isuzu,99513.51,Ameliorated neutral parallelism
651,Mazda,57351.68,Mandatory zero administration local area network
652,Toyota,84873.87,Fully-configurable zero administration toolset
653,Land Rover,59936.37,Grass-roots composite orchestration
654,Saab,97218.61,Universal motivating collaboration
655,Scion,51063.94,User-centric 5th generation forecast
656,Chrysler,2774.75,Reactive responsive superstructure
657,Buick,6701.56,Automated foreground help-desk
658,Chevrolet,2276.24,Cloned uniform emulation
659,Ford,14958.05,Distributed context-sensitive collaboration
660,Kia,8248.49,Open-architected scalable definition
661,Honda,52282.75,Streamlined zero tolerance groupware
662,Jaguar,13686.05,Synergized next generation solution
663,Subaru,73628.99,Profound logistical protocol
664,Chevrolet,28373.03,Quality-focused regional info-mediaries
665,Jeep,61063.95,Organic didactic array
666,Lincoln,93484.35,Devolved discrete superstructure
667,Ford,2744.38,Grass-roots hybrid product
668,Lexus,16449.31,Down-sized 3rd generation time-frame
669,BMW,35709.25,User-centric asynchronous service-desk
670,Infiniti,78301.44,Secured background system engine
671,Toyota,73599.51,Configurable composite intranet
672,GMC,20852.93,Centralized multi-tasking website
673,Infiniti,49725.01,Proactive web-enabled orchestration
674,GMC,38860.02,Programmable multi-state portal
675,Mercedes-Benz,42916.17,Diverse bifurcated extranet
676,Cadillac,94403.3,Cross-platform well-modulated help-desk
677,Lincoln,94754.37,Team-oriented tertiary infrastructure
678,Audi,72218.02,Decentralized 6th generation hardware
679,Ford,93874.24,Upgradable discrete support
680,Ferrari,7196.91,Adaptive homogeneous complexity
681,Ford,99117.42,Polarised leading edge toolset
682,Ford,78936.14,Progressive non-volatile function
683,Nissan,82436.36,Mandatory static secured line
684,Chevrolet,59471.73,Enhanced upward-trending definition
685,Dodge,33490.96,Versatile interactive open architecture
686,Mitsubishi,4893.36,Diverse local throughput
687,Eagle,80230.1,Ameliorated logistical protocol
688,Lexus,35647.73,Seamless encompassing help-desk
689,Bentley,62764.3,Polarised clear-thinking orchestration
690,Dodge,35378.48,Customizable eco-centric superstructure
691,Subaru,59633.89,Ergonomic reciprocal open system
692,Dodge,19943.94,Customizable bottom-line collaboration
693,Mazda,94080.18,Expanded directional methodology
694,Toyota,9297.36,Automated discrete customer loyalty
695,Volkswagen,42691.12,Polarised solution-oriented installation
696,Chevrolet,95963.49,Object-based logistical matrices
697,Lamborghini,83876.62,Secured heuristic task-force
698,Mitsubishi,41589.61,Switchable well-modulated encoding
699,Daewoo,74019.2,Managed cohesive moderator
700,Chevrolet,82133.26,Devolved empowering knowledge base
701,Subaru,86601.16,Synergistic bottom-line collaboration
702,Toyota,40012.5,Face to face even-keeled definition
703,Geo,37062.01,Up-sized solution-oriented monitoring
704,Mazda,15822.83,Cross-platform bottom-line instruction set
705,Mercedes-Benz,6620.34,Innovative responsive workforce
706,Dodge,56673.33,Upgradable well-modulated collaboration
707,Chevrolet,22460.5,Versatile human-resource projection
708,Dodge,84953.95,Devolved fault-tolerant hierarchy
709,Plymouth,37146.99,Team-oriented dedicated pricing structure
710,Cadillac,89282.84,Sharable foreground contingency
711,Nissan,88562.34,Open-source zero defect array
712,Saab,43168.52,Grass-roots multi-tasking portal
713,Suzuki,5950.4,Profit-focused needs-based challenge
714,Chevrolet,58967.17,Proactive real-time leverage
715,Mercury,12195.83,Implemented background productivity
716,MINI,7111.0,Horizontal neutral hardware
717,Mercedes-Benz,61152.59,Virtual encompassing data-warehouse
718,Chevrolet,77527.57,Quality-focused didactic standardization
719,Buick,59161.6,Synchronised 24 hour synergy
720,Chevrolet,1473.56,Phased zero administration function
721,Oldsmobile,78625.63,Profound maximized open architecture
722,Mercedes-Benz,8794.66,Multi-layered multi-state project
723,Saab,70700.87,Total logistical monitoring
724,GMC,92314.7,Public-key directional neural-net
725,Buick,55611.09,Networked system-worthy analyzer
726,Aston Martin,80652.28,Open-architected 3rd generation archive
727,MINI,43757.75,Synergized holistic intranet
728,Dodge,73466.86,Versatile needs-based migration
729,Land Rover,48897.23,Operative modular project
730,Mitsubishi,80950.69,Enhanced global knowledge user
731,Chevrolet,44195.33,Versatile heuristic encryption
732,Audi,25024.37,Inverse heuristic workforce
733,Geo,2185.72,Fundamental holistic support
734,Audi,9993.11,Networked solution-oriented artificial intelligence
735,Nissan,53223.56,Managed attitude-oriented matrix
736,Mitsubishi,20818.93,Horizontal transitional productivity
737,Suzuki,31445.84,Upgradable 24/7 model
738,Maserati,20633.61,Future-proofed exuding Graphic Interface
739,Toyota,87631.13,Vision-oriented mobile strategy
740,Jaguar,712.91,Open-architected mission-critical product
741,Chevrolet,65450.57,Extended bottom-line orchestration
742,Chrysler,62339.73,Distributed tertiary methodology
743,Jeep,48211.74,Synergistic bandwidth-monitored groupware
744,BMW,82241.81,Reactive didactic hub
745,Lincoln,73179.64,Distributed bifurcated algorithm
746,Mercedes-Benz,32836.82,Multi-lateral multi-state support
747,Subaru,7220.82,Implemented 5th generation knowledge user
748,Ford,43568.87,Front-line uniform instruction set
749,Mazda,54628.08,Compatible user-facing product
750,Mercedes-Benz,59844.11,Balanced multi-state superstructure
751,Dodge,76394.88,Managed foreground Graphical User Interface
752,Dodge,2467.12,Reverse-engineered logistical methodology
753,Acura,20884.7,Universal homogeneous help-desk
754,Lincoln,18024.14,Centralized scalable intranet
755,Nissan,40744.87,Reactive uniform encryption
756,Nissan,21982.49,Streamlined cohesive matrix
757,Chevrolet,48872.39,Integrated background solution
758,Subaru,98225.93,Proactive global functionalities
759,Subaru,2472.97,User-centric logistical hardware
760,Chevrolet,86558.38,Distributed attitude-oriented internet solution
761,Chrysler,85474.6,Multi-tiered mission-critical matrices
762,Chevrolet,18609.79,Synergistic solution-oriented forecast
763,Volvo,48327.13,Down-sized next generation collaboration
764,Mercury,93568.79,Object-based grid-enabled portal
765,Mazda,27737.08,De-engineered stable Graphical User Interface
766,Lincoln,46281.92,Monitored bifurcated service-desk
767,Dodge,84084.21,Profound disintermediate Graphic Interface
768,Ford,20140.64,Switchable attitude-oriented concept
769,Bentley,18673.64,Operative intermediate customer loyalty
770,Lexus,19589.85,Seamless cohesive application
771,Toyota,32026.18,Fully-configurable encompassing software
772,Honda,64028.56,Diverse static circuit
773,Chevrolet,79696.54,Fully-configurable static migration
774,Subaru,13413.0,Decentralized didactic benchmark
775,Subaru,92253.18,Automated bi-directional adapter
776,Chevrolet,80906.26,Enterprise-wide reciprocal migration
777,Dodge,18268.27,Diverse non-volatile moratorium
778,Mitsubishi,61554.49,Centralized clear-thinking database
779,Foose,13378.57,Re-contextualized modular leverage
780,Volkswagen,79180.48,Switchable bandwidth-monitored strategy
781,Porsche,19661.88,Organic 4th generation framework
782,Porsche,65028.95,Intuitive 4th generation knowledge user
783,Ford,28214.63,Innovative 3rd generation matrix
784,Mitsubishi,91316.28,Polarised demand-driven leverage
785,Ford,37880.18,Vision-oriented content-based hub
786,Toyota,18003.5,Innovative incremental database
787,Infiniti,55407.15,Front-line cohesive complexity
788,Dodge,46986.91,Realigned demand-driven methodology
789,Chevrolet,71670.45,Business-focused regional help-desk
790,Audi,78836.58,Fundamental logistical open system
791,Mitsubishi,63991.95,Business-focused system-worthy architecture
792,Mercury,41165.55,Fully-configurable bottom-line support
793,Buick,73317.96,Ergonomic scalable application
794,Nissan,10045.65,Realigned bi-directional service-desk
795,Mercury,26772.59,Streamlined even-keeled success
796,Honda,30430.01,Monitored 24/7 secured line
797,BMW,1973.21,Horizontal bifurcated frame
798,Pontiac,78781.61,Optimized next generation migration
799,Chevrolet,31071.71,Customizable 24/7 service-desk
800,Audi,23008.76,Implemented multi-state info-mediaries
801,Buick,83073.22,Devolved context-sensitive local area network
802,Chevrolet,99527.18,Intuitive tertiary instruction set
803,GMC,63329.33,Devolved needs-based approach
804,Ford,89737.59,Enhanced systematic model
805,Volvo,84625.42,Persevering content-based forecast
806,Chevrolet,35705.34,Object-based heuristic capacity
807,Land Rover,91303.44,Proactive hybrid time-frame
808,Toyota,70493.21,Horizontal mission-critical archive
809,Geo,68100.43,Cross-group executive extranet
810,Buick,66921.14,Profound dedicated solution
811,Lotus,38609.63,Phased empowering complexity
812,Honda,70637.58,Secured 4th generation hierarchy
813,Cadillac,33465.11,Universal directional process improvement
814,Acura,94373.7,Upgradable solution-oriented moratorium
815,Jeep,59298.19,User-centric radical flexibility
816,Honda,18389.49,Down-sized demand-driven solution
817,Saturn,1120.44,Programmable even-keeled project
818,GMC,72950.18,Organized tertiary framework
819,Dodge,38000.02,Public-key tangible matrices
820,Pontiac,15199.13,Down-sized interactive superstructure
821,Buick,43725.87,Innovative next generation utilisation
822,Toyota,33217.55,Decentralized systemic core
823,Lexus,77062.76,Future-proofed web-enabled throughput
824,Toyota,65100.88,Quality-focused 4th generation policy
825,Mercedes-Benz,59392.29,Universal scalable open system
826,Jeep,58348.04,Operative even-keeled model
827,Mercedes-Benz,21051.65,Expanded next generation attitude
828,Bugatti,85638.59,Pre-emptive leading edge archive
829,Chevrolet,50310.72,Multi-tiered methodical product
830,Suzuki,3045.15,Automated tertiary process improvement
831,Mazda,31235.57,Programmable tertiary archive
832,Lexus,21265.01,Balanced actuating circuit
833,Cadillac,77685.47,De-engineered leading edge encryption
834,Chevrolet,27984.1,Ergonomic impactful installation
835,Volvo,44796.44,Multi-tiered cohesive benchmark
836,GMC,13217.28,Upgradable mission-critical success
837,Honda,34861.31,Visionary executive complexity
838,Toyota,20280.35,Configurable discrete internet solution
839,Chrysler,79526.22,Managed holistic secured line
840,Mitsubishi,36904.35,Robust background algorithm
841,Audi,27848.71,Synergized heuristic alliance
842,Chevrolet,79352.68,Advanced logistical artificial intelligence
843,BMW,22366.54,Phased bandwidth-monitored paradigm
844,Pontiac,82806.48,Exclusive user-facing archive
845,Bentley,67429.29,Quality-focused composite migration
846,Maybach,2097.92,Digitized contextually-based encryption
847,Chevrolet,35146.88,Programmable tertiary throughput
848,Chevrolet,51650.05,Pre-emptive content-based solution
849,Audi,79753.63,Balanced upward-trending initiative
850,Dodge,22610.91,Assimilated optimal support
851,Mitsubishi,3306.99,User-centric coherent website
852,Mercury,96250.03,Quality-focused mobile migration
853,GMC,86617.42,Optional content-based open architecture
854,Toyota,71553.43,Organic radical challenge
855,BMW,96541.12,Triple-buffered object-oriented framework
856,Audi,36499.73,Cloned 24 hour throughput
857,Dodge,22637.11,Monitored composite capacity
858,Chevrolet,12415.99,Versatile didactic website
859,Jeep,76907.26,Balanced encompassing open system
860,Buick,14106.88,Upgradable global knowledge user
861,Lamborghini,11887.65,Proactive tertiary local area network
862,Infiniti,93935.92,Fundamental context-sensitive support
863,Lincoln,35685.3,Compatible disintermediate benchmark
864,Hyundai,44370.85,Stand-alone intermediate moratorium
865,Volvo,57535.54,Realigned logistical Graphic Interface
866,Toyota,5565.8,Re-engineered attitude-oriented collaboration
867,BMW,57761.87,Synergistic clear-thinking local area network
868,Mercedes-Benz,78671.0,Re-engineered client-server project
869,Hummer,20230.05,Synchronised heuristic model
870,Dodge,76324.68,Pre-emptive 5th generation complexity
871,Pontiac,40311.33,Front-line high-level functionalities
872,Bentley,45407.06,Ameliorated stable paradigm
873,Buick,27625.9,Customizable upward-trending info-mediaries
874,Ford,67949.62,Implemented multi-state paradigm
875,Volkswagen,1886.6,Networked reciprocal migration
876,Buick,79782.33,Progressive user-facing hierarchy
877,Acura,78380.94,Optimized client-server forecast
878,Dodge,28606.6,Multi-channelled bifurcated process improvement
879,Toyota,54898.67,Polarised static budgetary management
880,Ford,79976.56,Re-contextualized contextually-based standardization
881,Jaguar,28927.58,Future-proofed holistic archive
882,Cadillac,57019.15,Enterprise-wide static paradigm
883,Dodge,62960.79,Inverse static flexibility
884,Kia,28534.17,Multi-channelled regional system engine
885,Acura,47105.26,Extended logistical matrix
886,Mercedes-Benz,42744.9,Compatible content-based forecast
887,Acura,57831.92,Business-focused 6th generation challenge
888,GMC,99750.87,Compatible dedicated synergy
889,Suzuki,52385.86,Streamlined context-sensitive array
890,Toyota,53577.92,Managed discrete forecast
891,Chevrolet,61232.32,Phased radical paradigm
892,Saab,60165.15,Quality-focused well-modulated circuit
893,Lexus,96654.39,Fully-configurable logistical capability
894,Chevrolet,92770.52,Persistent local info-mediaries
895,Ford,94112.64,Total background hub
896,Suzuki,5300.37,Business-focused tertiary implementation
897,Lexus,63228.04,Up-sized bandwidth-monitored concept
898,Dodge,91184.74,Seamless human-resource definition
899,Ram,73777.39,Polarised context-sensitive open system
900,Nissan,52579.85,Re-engineered mobile system engine
901,Jaguar,80547.74,Intuitive mobile approach
902,Dodge,4088.6,Cross-group next generation flexibility
903,Pontiac,34630.82,Managed exuding collaboration
904,Chevrolet,47222.31,Public-key non-volatile local area network
905,Audi,13212.7,Re-engineered local budgetary management
906,Dodge,73129.76,User-centric motivating portal
907,Lexus,69365.83,Versatile multi-tasking methodology
908,Scion,46468.88,Optimized holistic intranet
909,Pontiac,17917.94,Synchronised transitional architecture
910,Ford,52038.51,Distributed object-oriented hierarchy
911,Honda,17138.41,Public-key grid-enabled open architecture
912,Chevrolet,56489.47,Adaptive interactive adapter
913,Audi,42805.2,Balanced 24/7 system engine
914,Infiniti,3675.25,Fundamental local protocol
915,Chevrolet,95745.11,Self-enabling background adapter
916,Ford,33217.68,Pre-emptive homogeneous circuit
917,Mazda,8016.51,Devolved mission-critical middleware
918,Ford,16311.03,Reverse-engineered multi-state Graphic Interface
919,Ford,35987.27,Distributed bottom-line frame
920,Mitsubishi,13534.05,Distributed bandwidth-monitored customer loyalty
921,Lexus,33908.77,Reduced modular firmware
922,Honda,20794.9,Operative mission-critical archive
923,MINI,51338.31,Enhanced web-enabled challenge
924,Chevrolet,89055.33,Compatible regional process improvement
925,Buick,65429.98,Horizontal mission-critical analyzer
926,Mazda,60109.17,Streamlined zero defect policy
927,Subaru,59432.66,Compatible systemic customer loyalty
928,Ford,38311.0,Reverse-engineered object-oriented policy
929,BMW,31474.16,Polarised intangible installation
930,Mazda,96957.31,Decentralized needs-based functionalities
931,Honda,84401.75,Horizontal transitional customer loyalty
932,GMC,69671.51,User-friendly leading edge leverage
933,Mercedes-Benz,17758.68,Grass-roots multi-state project
934,Lincoln,43961.48,Ameliorated bifurcated support
935,BMW,98172.87,Total needs-based database
936,GMC,82959.5,Ameliorated actuating conglomeration
937,Chevrolet,1783.62,Customizable responsive encoding
938,Chevrolet,60744.73,Front-line tangible core
939,Hyundai,94442.0,Grass-roots non-volatile forecast
940,Chevrolet,95069.98,User-friendly dynamic info-mediaries
941,Buick,61362.21,Up-sized systematic synergy
942,Jeep,97003.71,Re-engineered motivating attitude
943,Porsche,62673.03,Reactive multimedia open architecture
944,Saturn,42874.55,Monitored methodical flexibility
945,Ford,7904.17,Multi-layered analyzing secured line
946,Mazda,19058.16,Future-proofed interactive leverage
947,Chevrolet,81710.2,Right-sized executive circuit
948,Toyota,54789.67,Integrated systemic knowledge base
949,Pontiac,19391.94,User-centric analyzing migration
950,Mercedes-Benz,62179.11,Enterprise-wide asynchronous archive
951,Dodge,31286.35,Triple-buffered zero administration infrastructure
952,Toyota,54553.09,Team-oriented impactful approach
953,Pontiac,12548.98,Synchronised coherent support
954,Ford,16280.29,Polarised actuating attitude
955,Mitsubishi,51001.77,Re-engineered foreground task-force
956,Dodge,28556.67,Cross-platform heuristic archive
957,Dodge,34018.15,Profound coherent contingency
958,Pontiac,59023.03,Switchable transitional Graphic Interface
959,Mazda,1949.99,Quality-focused mobile encoding
960,Ford,84277.33,Self-enabling encompassing synergy
961,Audi,97923.6,Public-key next generation firmware
962,Chevrolet,86437.12,Future-proofed needs-based frame
963,Mazda,84456.65,Versatile object-oriented info-mediaries
964,Honda,18634.63,Persevering zero administration Graphic Interface
965,Dodge,7205.18,Upgradable 3rd generation architecture
966,Pontiac,77825.63,Customer-focused value-added pricing structure
967,Jeep,88937.19,Organized bifurcated model
968,Dodge,33810.51,Cross-platform directional flexibility
969,Oldsmobile,16884.04,Decentralized coherent implementation
970,Scion,81015.58,Cross-group cohesive middleware
971,Saturn,40875.95,Function-based system-worthy service-desk
972,Maserati,67881.17,Persevering background leverage
973,Kia,74118.58,Operative dynamic time-frame
974,Subaru,44885.14,Synergistic human-resource knowledge base
975,Volkswagen,14521.82,Multi-lateral homogeneous hub
976,Nissan,43327.24,Robust maximized middleware
977,Mitsubishi,4282.36,Synergized real-time encryption
978,Aston Martin,30487.06,Reduced zero administration encoding
979,Volkswagen,76061.92,Synchronised human-resource protocol
980,Mitsubishi,21556.47,Profit-focused background workforce
981,Mercury,92847.0,Synergized exuding groupware
982,Dodge,6903.51,Sharable bandwidth-monitored circuit
983,Mazda,73640.18,Innovative non-volatile monitoring
984,Chevrolet,23504.59,Mandatory next generation contingency
985,Subaru,96663.86,Re-contextualized human-resource functionalities
986,Pontiac,36234.09,Programmable tangible pricing structure
987,Maybach,48361.0,Upgradable cohesive workforce
988,GMC,67947.11,Versatile context-sensitive archive
989,Cadillac,46035.51,Ergonomic optimizing parallelism
990,Land Rover,52733.03,Progressive actuating interface
991,Volkswagen,18786.27,Devolved context-sensitive throughput
992,Isuzu,21113.35,Cloned grid-enabled architecture
993,Volkswagen,96788.77,Monitored system-worthy support
994,Infiniti,57349.3,Realigned solution-oriented hierarchy
995,Honda,7861.63,Polarised well-modulated firmware
996,Subaru,48335.24,Monitored didactic function
997,Land Rover,89592.75,Digitized dynamic portal
998,Lincoln,21124.5,Horizontal real-time forecast
999,Ford,45866.93,Centralized incremental knowledge user
1000,Dodge,79234.92,Ergonomic transitional concept
